objid,specobjid,class,ra,dec,redshift,u_g,g_r,r_i,i_z
1237648721224663257,311894097415661568,GALAXY,166.067238198678,-0.202909236533945,0.08379089,1.352373,0.6084652,0.3288002,0.2494011
1237648721224859857,311883377177290752,GALAXY,166.565598417197,-0.182061793550217,0.07126185,1.451405,0.6810684,0.351387,0.2597141
1237648721224859878,311881727909849088,GALAXY,166.640223573402,-0.206510804998812,0.1221195,1.966894,1.055782,0.4495964,0.3881798
1237648721228136926,4324717707679520768,GALAXY,174.031949986335,-0.112123669222046,0.4683698,2.10294,1.685341,0.7775497,0.4378605
1237648721228137074,4324717150474622976,GALAXY,174.080137754788,-0.0737796731976775,0.4878958,1.424408,1.455666,1.090052,0.5338554
1237648721228137244,4324715501207181312,GALAXY,174.131169189997,-0.0194762734520034,0.545388,2.208693,1.718153,0.9036293,0.4853172
1237648721228202476,4324710011098126336,GALAXY,174.195665623699,-0.0878119637858015,0.588136,1.673458,1.601147,1.002375,0.5151768
1237648721228202550,4324710560853940224,GALAXY,174.223700040834,-0.106824878346063,0.4692838,2.372726,1.854956,0.8316631,0.4712887
1237648721228267652,4324710553404856320,GALAXY,174.320638672908,-0.204927990140346,0.6306018,3.691307,1.532362,1.135227,0.5769634
1237648721228333631,4324712210121381888,GALAXY,174.505463936107,-0.166405015793891,0.6748,0.5423775,1.348934,1.203302,0.5942268
1237648721228399101,4324705613051615232,GALAXY,174.635596003768,-0.150769432215401,0.7927377,1.045609,0.8297424,1.129654,0.700201
1237648721246552289,343468493003319296,GALAXY,216.068904877203,-0.149394906133914,0.1735983,1.099127,0.6530876,0.3655739,0.2023354
1237648721246552291,343470966904481792,GALAXY,216.069761806057,-0.0384216152444433,0.06613284,1.171082,0.5336971,0.3624172,0.2286758
1237648721246552294,343469592514947072,GALAXY,216.071649991113,-0.204268188573305,0.08418238,1.01268,0.3441715,0.3562222,0.02340317
1237648721246552381,343469317637040128,GALAXY,216.133801232767,-0.16534017884765,0.1750456,2.004175,1.224239,0.5132999,0.3777008
1237648721246617643,343458872276576256,GALAXY,216.256560695505,-0.142008774706248,0.4595043,-0.7815342,5.385729,0.9008007,0.3110275
1237648721246617801,343458597398669312,GALAXY,216.24929264888,-0.192080852906236,0.1292078,1.50787,0.842308,0.4454498,0.3328838
1237648721246617920,343459696910297088,GALAXY,216.217170274557,-0.086893902681844,0.3166894,2.318468,1.697584,0.6345654,0.3976784
1237648721746002522,14102137276105775104,GALAXY,130.669781619542,0.305178442469268,0.3076606,0.7904873,1.513044,0.4215889,0.4561367
1237648721746067793,14102148820977866752,GALAXY,130.796414979084,0.263735855547264,0.3661227,4.80479,1.79203,0.5764179,0.404808
1237648721746068242,14102137825861588992,GALAXY,130.767959343554,0.253764798003865,0.3098258,1.177111,1.125885,0.4198151,0.3867016
1237648721746068275,14102148546099959808,GALAXY,130.773908849063,0.40914933739254,0.2623705,1.352875,1.542543,0.5291443,0.2454014
1237648721753932060,301850328960100352,GALAXY,148.825687886743,0.389318410904711,0.04646964,1.847534,0.8237553,0.4011955,0.2947407
1237648721753997640,301848679692658688,GALAXY,148.925396960877,0.214998027018752,0.3076873,2.125626,1.653419,0.5993938,0.3467846
1237648721754128513,301850603838007296,GALAXY,149.20619827796,0.26924459715638,0.215447,2.278496,1.447605,0.5591564,0.360363
1237648721754128586,301858025541494784,GALAXY,149.2502395133,0.274271482868813,0.1369716,1.573484,0.9381084,0.4521618,0.3562536
1237648721754128598,301858300419401728,GALAXY,149.257601999998,0.356504495269535,0.08850689,1.25713,0.6305332,0.3926678,0.2392254
1237648721760813328,310923503543019520,GALAXY,164.518946354727,0.396654105446355,0.07704163,1.885973,0.9431248,0.5063267,0.3713856
1237648721760813365,310921854275577856,GALAXY,164.562011700162,0.397137118265155,0.1473267,2.014093,1.14246,0.4781857,0.38274
1237648721760878739,310924328176740352,GALAXY,164.645629835295,0.292387597907842,0.04228432,1.886847,0.8830376,0.3956423,0.3449869
1237648721760878763,310919930130229248,GALAXY,164.672984046041,0.414153157815067,0.1496221,1.480459,0.8656635,0.4307289,0.2626343
1237648721760944202,310922953787205632,GALAXY,164.716035934188,0.362713217073104,0.1353092,1.77948,0.9627018,0.4186401,0.3361244
1237648722290933840,301848404814751744,GALAXY,149.121645802445,0.708909829273537,0.09600016,1.685646,0.9174652,0.4688015,0.2421026
1237648722290933939,301846755547310080,GALAXY,149.056833791101,0.753894504654969,0.03463108,1.139914,0.4271603,0.2464352,0.2207642
