#Table1
u,g,r,i,z,class,z1,zerr
19.54354,18.17273,17.33194,16.91912,16.61848,GALAXY,0.1460602,1.051029E-05
17.28937,15.49168,14.66308,14.19466,13.9018,GALAXY,0.0313472,7.848445E-06
19.20568,18.27848,17.98819,17.88091,17.84384,STAR,-0.00016242,1.630291E-05
19.13359,17.99006,17.56541,17.31686,17.32481,STAR,-5.931438E-05,1.375527E-05
19.07427,18.0959,17.69268,17.52018,17.45324,STAR,-7.645576E-05,1.19919E-05
17.79149,16.35908,15.73864,15.49977,15.37164,STAR,-0.0005474998,8.824907E-06
19.132,18.27022,17.3124,17.15989,16.23866,STAR,9.591104E-05,2.984181E-05
17.12559,17.3508,17.21324,16.80862,16.32991,STAR,-0.0007000802,1.300037E-05
16.44844,15.07328,15.82252,13.97839,13.95772,STAR,-0.000617373,1.084841E-05
17.67645,16.48225,16.39234,16.38709,16.41884,STAR,-0.0002639337,9.695398E-06
18.47569,17.2339,16.67056,16.34663,16.0671,GALAXY,0.02888887,6.204814E-06
19.42184,18.27231,17.7073,17.31814,17.11884,GALAXY,0.05860724,5.832032E-06
17.23499,16.1503,15.79707,15.66491,15.63558,STAR,-4.252415E-05,8.917436E-06
18.59868,17.10075,16.53655,16.33253,16.22462,STAR,4.583661E-05,8.5088E-06
18.61618,17.7512,17.39187,17.22956,17.15789,STAR,-0.0002072239,1.504517E-05
19.46873,18.29588,17.86116,17.60013,17.47918,GALAXY,0.1032483,9.286895E-06
17.95806,16.99794,16.68941,16.54995,16.50913,STAR,-0.0006868771,1.321683E-05
19.47245,19.28352,19.17266,19.21907,19.17326,QSO,0.9276614,0.0005013971
19.01915,17.08427,16.17396,15.74726,15.40766,GALAXY,0.06033058,1.394564E-05
19.02759,17.85768,17.8243,17.88135,17.90707,STAR,-0.0009822468,9.501963E-06
18.54438,17.27859,16.78671,16.59126,16.5142,STAR,-8.223711E-05,8.699437E-06
18.93012,17.77144,17.24544,16.88499,16.62581,GALAXY,-0.0002007848,1.69047E-05
